           The list of the abbreviations in the references.

-----------------------------------------------------------------------------------------------------------------------
Simb.|         GCVS              |         Literature
PCat |Catania Publ               |Osservatorio Astrofisico di Catania, Pubblicazioni, Nuova Serie
POAN |Cerro Calan Publ           |Departamento de Astronomia, Universidad de Chile, Observatorio Astronomico Nacional, Cerro Calan Publicaciones
CoTol|Cerro Tololo Contr         |Contributions from the Cerro Tololo Inter-American Observatory
POClu|Cluj Publ                  |Publicatiile Observatorului Astronomical Universitatii din Cluj
Coel |Coelum                     |Coelum - Periodico Bimestrale per la Divulgazione dell'Astronomia
     |Commonwealth Mem           |Memoirs of the Commonwealth  Observatory, Mount Stromlo,Canberra
RNAO |Cord Res                   |Resultados del Observatorio Nacional Argentino
CoDDO|DDO Comm                   |Communications from the David Dunlap Observatory, Richmond Hill,
PDDO |DDO Publ                   |Publications of the David Dunlap Observatory
DOIAP|DOB                        |Documentation des Observateurs. Institut d'Astrophysique de Paris
DOCi |DOC                        |Documentation des Observateurs - Circulaire
AnDea|Dearborn Ann               |Annals of the Dearborn Observatory of Northwestern University
EBCi |EBC                        |Eclipsing Binaries Circulars - Polska Akademia Nauk, Krakow
ESOAR|ESO Ann Rep                |European Southern Observatory - Annual Reports
     |ESO Repr                   |European Southern Observatory - Scientific Reprint
PROE |Edinburgh Publ             |Publications of the Royal Observatory, Edinburgh(suspended from vol 19
     |Enebo                      |Beobachtungen veraenderlicher Sterne angestellt auf Dombas (Norwegen) von Sigurd Einbus (Enebo)
KazOB|Engel'gardt Byull          |Astronomicheskoj Observatorii im V.P. Engel'gardta, Kazan - Byulleten'
ANErg|Erg AN                     |Ergaenzungshefte zu den Astronomischen Nachrichten
CoFra|Frascati Contr             |Consiglio Nazionale delle Ricerche (Italia). Laboratorio di Astrofisica, Frascati (Roma), Contributi
     |Frascati Rapp              |Laboratorio di Astrofisica (universita di Roma). 4a sezone del centro di astrofisica (CNR). Frascati, Roma.Rapporto Interno
GCVS3|GCVS                       |General Catalogue of Variable Stars. Ed.: B.V. Kukarkin et al. Sternberg State Astronomical Institut. Publ.: Astronomical Council of the Academy of Sciences in the USSR, Moscow, 1948 (1st ed.), 1958 (2nd ed.), 1969-1971 (3rd ed.).
GCVS4|GCVS                       |Combined General Catalogue of Variable Stars (1998), 4.1 Ed (II/214A). Kholopov P.N. et al.
     |GCVS Suppl I-IX            |I-IX Supplements to the editions of the General Catalogue of Variables Stars. Ed.: B.V. Kukarkin et al., Moscow.
GEOSN|GEOS NC                    |GEOS Note Circulaire - Group: Etude et Observation Stellaire, Paris
     |GEOS SR                    |GEOS Circulare on Red Variable Stars - Group: Etude et Observation Stellaire, Paris
     |GOEV                       |Groupment des Observateurs d'Etoiles Variables
GSC1 |GSC                        |The HST Guide Star Catalog Version 1.1 (I/220)
PGen |Geneve Publ                |Publications de l'Observatoire de Geneve
ANote|Goeteborg Astr Notes       |Astronomical Notes - University of Gothenburg, Sweden, Section of
PGLO |Goethe Link Publ           |Publications of the Goethe Link Observatory of Indiana University, Bloomington, Indiana
PGooO|Goodsell Publ              |Publications of the Goodsell Observatory of Carlton College, Northfield, Minnesota
GUL  |Gul                        |Geschichte und Lichtwechsel der Veraenderlichen Sterne (Potsdam)
AnHar|HA                         |Annals of Harvard College Observatory
HarAC|HAC                        |Harvard College Observatory. Announcement Card
BHarO|HB                         |Bulletin of the Harvard College Observatory
HarCi|HC                         |Harvard College Observatory Circular
AVSOQ|HQR                        |American Association of Variable Stars Observers - Quarterly Reports, Harvard
HalAR|Hale Obs Rep               |Hale Observatories, Pasadena, California - Annual Report of the Director
MiHam|Hamb/Berg Mitt             |Mitteilungen der Hamburger Sternwarte in Bergedorf
HarZi|Hartha BZ                  |Harthaer Beobachtungs-Zirkular
MiHar|Hartha Mitt                |Mitteilungen der Bruno-H.-Buergel-Sternwarte, Hartha, DDR
HarRe|Harv Repr                  |Harvard College Observatory - Reprints
MiAR |Heidelberg Mitt            |Astronomisches Rechen-Institut Heidelberg, Mitteilungen
VeHei|Heidelberg Ver             |Veroeffentlichungen des Badischen Landessternwarte zu Heidelberg (Koenigstuhl)
MiHei|Heidelberg-Koenigstuhl Mitt|Mitt|Mitteilungen der Landessternwarte Heidelberg-Koenigstuhl
IAUC |IAU Cir                    |International Astronomical Union, Circular
IAUCo|IAU Coll                   |IAU Colloquia
IAUS |IAU Symp                   |IAU Symposia
IAUT |IAU Trans                  |Transactions of the International Astronomical Union
IBSH |IBSH                       |Information Bulletin for the Southern Hemisphere
IBVS |IBVS                       |Information Bulletin on Variable Stars
     |ICAR                       |Information Circular of the Astronomical Institutions in the USSR
IRC  |IRC                        |Two micron sky survey : A preliminary Catalogue. Calif. Inst.
IrAJ |Irish AJ                   |Irish Astronomical Journal
     |Izv AN Kaz SSR             |Izvestiya Akademiya Nauk Kazakhskoj SSR, Alma-Ata, Ser. fiz. mat.
IzAlm|Izv Astrofiz Inst Alma-Ata |Izvestiya Astrofizicheskogo Instituta, Alma-Ata
IzKaz|Izv Astron Engel'gardt Obs |Izvestiya Astronomicheskoj Engel'gardt obskoj Observatorii, Kazan
IzKie|Izv Glav Astron Obs AN USSR|Izvestiya Glavnoj Astronomicheskoj Observatorii - Kiev, Akademiya Nauk
     |Izv Krymsk Astrofiz Obs    |Izvestiya Krymskoj Astronomicheskoj Observatorii
AISAO|Izv SAO                    |Astrofizicheskie Issledovaniya. Izvestiya Spetsial'noj Astrofizicheskoj
JAVSO|JAAVSO                     |Journal of the American Association of Variable Stars Observers
JASAC|JASAC                      |Japan Astronomical Study Association - Circulars
JApA |JApAs                      |Journal of Astrophysics and Astronomy
JBAA |JBAA                       |Journal of the British Astronomical Association
JO   |JO                         |Journal des Observateurs
JRASC|JRASCan                    |Journal of the Royal Astronomical Society of Canada
JBAn |Jodrell Bank Ann           |Astronomical Contributions from the University of Manchester - Jodrell Bank Annals
     |KE                         |Katalog und Ephemeriden veraenderlicher Sterne
BamKV|KVB                        |Bamberg Kleine Veroeffentlichungen der Remeis-Sternwarte
KVeBB|KVBB                       |Kleine Veroeffentlichungen der Universitaetssternwarte zu Berlin-
GroR |Kapteyn Report             |Kapteyn Astronomical Laboratory, Groningen, Nederlandse Vereniging voor Weer - en Sterrenkunde - Reports
CoKit|Kitt Peak Contr            |Contributions from the Kitt Peak National Observatory
PCopO|Kobenhavn Publ             |Publikationer og mindre Meddelelser fra Kobenhavns Observatorium
VeHei|Koenigstuhl Ver            |Veroeffentlichungen der Heidelberg-Koenigstuhl Sternwarte
CraR |Krak Astr Rep              |Polskie Towarzyslwo Milosnikow Astronomii (Polskie Amateur Astronomical Society), Krakow - The Astronomical Reports
CraRe|Krak Circ                  |Cracow Observatory - Circular
     |Kyoto Bull                 |Bulletin published by the Kwasan Observatory, Imperial University of Kyoto
BAAA |La Plata Bol               |Boletin de la Asociacion Argentina de Astronomia, La Plata, Argentina
AnLei|Leid Ann                   |Annalen van de Sterrewacht te Leiden
