LMC V0008    SiO maser.
LMC V3434    (t0=JD 2444590.4792, dP/dt=5.01x10^(-10)) [V0137]. During the "on"
LMC V3434    state, the amplitude of optical outbursts gradually decreases
LMC V3434    [V0200]. No periodicity has been found in optics outside outbursts.
LMC V3434    An increase of linear optical polarization during outburst has
LMC V3434    been noted. The B component probably undergoes shell events
LMC V3434    when outbursts occur during the passages of the neutron star
LMC V3434    through the periastron of the high-eccentricity orbit (e=0.7,
LMC V3434    Porb =16.7).
LMC V3436    IR excess. Surrounded with a nebula. Spectrum description [V0138].
LMC V3439    Alternative P value is 319d :.
LMC V3443    Red.
LMC V3448    VB A (B 6", 150{deg}, {Delta} m=-0.5; C 10", 340{deg},
LMC V3448    {Delta} m=0.5.
LMC V3452    B-V: +0.38, +0.89. [A/H]=-0.09. P var. Max=2413896.571+30.427xE+
LMC V3452    3.2x10^(-5)xExE (JD 2413000 - 35000) [V0008]; since JD 2435000 -
LMC V3452    see Table.
LMC V3453    VB A (B 14.96, B0V, 3", 318 {deg}; C 15.82, B1.5V, 1".7, 110
LMC V3453    {deg}; D 19m, 1.9", 222{deg}; etc.). B var? [V0218]. Combined
LMC V3453    pre-outburst brightness V=12.24, B-V=+0.04, U-B=-0.65; Sp B3I.
LMC V3453    Pre-outburst brightness of the A component V=12.3. Pre-outburst
LMC V3453    variability has not been definitely found (11.8-12.5pg, 1934-1959
LMC V3453    [V0221]). To JD 2446849.601 - .945 the neutrino observations refer,
LMC V3453    their interpretation being not straightforward (a review in
LMC V3453    [V0139]). The star was (7.5 vis on JD 2446849.89; first found at
LMC V3453    mpv=4.5 on JD 2446850.833. The light curve is unusual for SN II,
LMC V3453    showing very slow development of the outburst and presumably
LMC V3453    anomalously low luminosity at maximum. According to the combined
LMC V3453    light curve [V0142], V=2.97 in Max. The minimal brightness in the
LMC V3453    Table refers to continuing decline, July 1991. Radiobursts
LMC V3453    (JD 2446852, 100mJy, 1 GHz; 2446969 - 972, 500 mJy, 22 GHz).
LMC V3453    Since June 1987 there is hard X-ray and {gamma} radiation. Since
LMC V3453    March 1987, features at different distances from the SN, attributed
LMC V3453    to light echo, are being registered. In 1990 an elliptical ring -
LMC V3453    a nebula around the SN - was detected by the Hubble Space
LMC V3453    Telescope.
LMC V3454    Close are V3455, V3475.
LMC V3457    [Fe/H]=-0.75. P var. Max=2413952.072+24.4115xE-3.37x10^(-5)xExE
LMC V3457    (JD 2413000 - 27000) [V0008]; since JD 2427000 - see Table.
LMC V3465    Red.
LMC V3477    Red.
LMC V3480    Red.
LMC V3484    In the region of the nebula LHa 120-N157.
LMC V3487    In the region of the nebula LHa 120-N157.
LMC V3514    Alternative P value is 191d:.
LMC V3517    SB1, Porb=3.0032d.
LMC V3522    Red.
LMC V3523    Red.
LMC V3526    B-V: +0.55, +1.10.
LMC V3527    Identical with the planetary nebula W35=LHa 120-N66. Red.
LMC V3532    Red.
LMC V3534    According to [V0445], P=489d.
LMC V3538    In the cluster NGC 2042. VB A (B n).
LMC V3549    Red.
LMC V3559    Red.
LMC V3561    Identical with the star A49198 which has, according to [V0443],
LMC V3561    P =423d:.
LMC V3585    Red.
LMC V3600    VB (11.5m - 11.7m, 3", 307{deg}, 1954). In a nebula
LMC V3600    3.5"x4.5".
LMC V3611    Red.
LMC V3614    Red.
LMC V3615    B-V: +0.58, +0.70.
LMC V3618    Red.
LMC V3620    Red.
LMC V3632    Red.
LMC V3640    Red.
LMC V3641    MinII 15.2.
LMC V3661    MinII 16.3.
LMC V3663    Red.
LMC V3664    Red.
LMC V3666    Red.
LMC V3677    VB A (B n, var? [V0001]).
LMC V3684    Red.
LMC V3688    Red.
LMC V3690    Red.
LMC V3695    Red.
LMC V3698    VB A (B 5", 0{deg}, {Delta} m=-0.5; C 5", 300{deg}, Delta
LMC V3698    m=-0.5; B,C are blue).
LMC V3702    Sp B1I+WCE/WN3. SB, Porb=4.3092d [V0485] (WR star around an
LMC V3702    unseen companion).
LMC V3711    B-V: +0.33, +0.69.
LMC V3723    Red.
LMC V3726    Red.
LMC V3735    MinII 13.3.
LMC V3737    Red.
LMC V3746    Red.
LMC V3747    Red.
LMC V3758    Lx/Lopt ~100. SB1 (K=235 km/s). The epoch of Min which coincides
LMC V3758    with the exterior conjunction of the X-ray source is given.
LMC V3758    Long-period X-ray variability: Max=2443733+197.8xE [V0552]. The
LMC V3758    ellipsoidal variability with the depths of MinI ~ 0.20 - 0.23,
LMC V3758    MinII ~0.17 V is accompanied by changes of the mean brightness
LMC V3758    level with P=197.8.
LMC V3790    Red.
LMC V3791    Red.
LMC V3792    VB A (B 9", 90{deg}, {Delta} m=0.5; C 6", 280{deg}, Delta
LMC V3792    m=1.5; B,C are blue).
LMC V3796    Red.
LMC V3797    Red.
LMC V3800    In the region of 30 Dor. A compact group of stars, the amplitude
LMC V3800    of the combined light is given. VB, SB. R140a1: Sp WC5 (+O?),
LMC V3800    the northern, brighter component; R140a2: Sp WN6+O(SB1), the
LMC V3800    southern, fainter component which causes the photometric
LMC V3800    variability. R140b: Sp WN6, the star most to the south, {rho}(ab)
LMC V3800    ~2". The depth of MinI is 0.03m; that of MinII, 0.02m.
LMC V3803    In the region of 30 Dor. SB1 (Porb=52.7d) [V0485].
LMC V3804    VB (0".5, 220{deg}). SB2 (WN6+O3-4); Porb=4.377d? Porb=1.2955d?
LMC V3804    [V0164]. Const? [V0164]. In the centre of 30 Dor. Further
LMC V3804    components are detectable at the limit of resolution. Possibly the
LMC V3804    cluster core.
LMC V3811    In the region of the nebula LHa 120-N157.
LMC V3814    Identical with V3816 (HV 12629)? [V0016].
LMC V3816    Identical with V3814 (HV 2734)? [V0016].
LMC V3819    In the region of the nebula LHa 120-N157.
LMC V3831    SB1, Porb=25.17d:. In the region of the nebula LHa 120-N157.
LMC V3855    B-V: +0.97, +1.48.
LMC V3862    Red.
LMC V3886    [A/H]=0.11. B-V: +0.71, +1.29.
LMC V3895    Red.
LMC V3896    MinII 15.7.
LMC V3911    Red.
LMC V3918    MinII 15.07.
LMC V3924    Red.
LMC V3935    Also possible is P=1265d:.
LMC V3954    In the young SN remnant SNR 0540-69. The radiation 3200 - 7500 A
LMC V3954    in the 4.6" aperture is modulated (with an amplitude of +-2% of
LMC V3954    the nebula radiation) with sine shape pulses having a slight
LMC V3954    (10-20%) dip near Max light. P=50.2812856ms, dP/dt=44.8 ns/d
LMC V3954    (JD 2445941.3659).
LMC V3961    [Fe/H]=-0.54.
LMC V3980    VB A (B {Delta} m=1, 4", 320{deg}).
LMC V3985    MinII 15.7.
LMC V3998    Epoch of Min is given.
LMC V4021    Red.
LMC V4026    P var? Slightly decreased since JD 2413000?
LMC V4048    B-V: +0.49, +0.72. During 1910 - 1950  Max = 2416820.567+
LMC V4048    3.205323xE.
LMC V4066    MinII 15.5.
LMC V4071    P=186 is possible.
LMC V4075    Red.
LMC V4091    Alternative P value is 2800d.
LMC V4109    [A/H]=-0.07.
LMC V4110    B-V: +0.71, +1.33. [A/H]=0.15. P var. In 1910 - 1950 P was
LMC V4110    increasing, Max=2428041.643+19.18428xE. According to [V0072],
LMC V4110    M-giant.
LMC V4112    The identification with HV 6002 is wrong.
LMC V4116    B-V: +0.44, +0.69. P var? [V0059]. During 1910 - 1950
LMC V4116    Max=2426571.611+3.651906xE.
LMC V4132    According to [V0170], CEP(B):, P0 - see Table (semiamplitude
LMC V4132    0.30 B), P1/P0=0.71 (semiamplitude corresponding to P1 is 0.17 B).
LMC V4133    VB A (B {Delta} m=0.5, 6", 290{deg}). In the region of the
LMC V4133    cluster NGC 2100.
LMC V4141    VB A (B {Delta} m=0.5, 4", 210{deg}).
LMC V4146    P var. Quadratic term -3.06dx10^(-8)xExE.
LMC V4164    P=1218d is possible.
LMC V4176    According to [V0170], CEP(B):, P0 - see Table (semiamplitude
LMC V4176    0.54 B), P1/P0=0.72 (semiamplitude corresponding to P1 is 0.16 B).
LMC V4180    The designation GR 22 is wrong.
LMC V4191    P var. Increased by ~10^(-3)d after JD 2416800.
LMC V4203    B-V: +0.43, +0.55. During 1910-1950 Max=2424902.831+1.810933xE.
LMC V4215    MinII 15.5.
LMC V4216    B-V: +1.05, +1.38. Sp M: [V0020]. Late supergiant? [V0077].
LMC V4216    P var, increased from 78.58d to 79.78d, probably abruptly [V0008].
LMC V4218    1E 0543.8-6823. Porb=0.93036d? Lx/Lopt ~1.
LMC V4218    P=69d (precessional?) is also possible. According to [V0454],
LMC V4218    Porb=1.0436d, brightness variations with P ~2h are also noted.
LMC V4218    In general optical brightness variations are irregular.
LMC V4225    According to [V0454], eclipsing.
LMC V4226    MinII 15.0.
LMC V4263    According to [V0486], 13.55 - 14.13 V outside deep minima;
LMC V4263    periods of 59.52d, 116.28d, 54.35d, ~700d are found.
LMC V4273    [Fe/H]=-0.40.
LMC V4297    B-V: +0.77, +1.47. [A/H]=0.11.
LMC V4306    The co-ordinates (measured by us) correspond to the
LMC V4306    identifications of the chart in [V0132]; however, the
LMC V4306    co-ordinates given in [V0132] refer to an inversed (see V4308)
LMC V4306    identification, and it is not clear which identification
LMC V4306    corresponds to the rest of the data in [V0132,V0133].
LMC V4308    The co-ordinates (measured by us) correspond to the
LMC V4308    identifications of the chart in [V0132]; however, the
LMC V4308    co-ordinates given in [V0132] refer to an inversed (see V4306)
LMC V4308    identification, and it is not clear which identification
LMC V4308    corresponds to the rest of the data in [V0132,V0133].
LMC V4317    MinII 15.6.
LMC V4322    B-V: +0.57, +0.60.
LMC V4341    Epoch of Max is given.
LMC V4354    B-V: +0.77, +1.25. [A/H]=0.29.
LMC V4382    MinII 19.2: (depth var, {phi} ~0.45).
LMC V4383    P var? [V0059]. During 1910-1950 Max=2429594.386+4.520796xE [V0008]
LMC V4389    B-V: +0.59, +0.83.
LMC V4395    P var? [V0059]. During 1910-1950 Max=2427800.377+4.391238xE [V0008]
LMC V4403    Red.
LMC V4441    According to [V0075], Max=2431729.6037+(2.204417:)xE.
LMC V4460    According to [V0170], CEP(B):, P0 - see Table (semiamplitude
LMC V4460    0.24 B), P1/P0=0.71 (semiamplitude corresponding to P1 is 0.21 B).
LMC V4470    B-V: +0.59, +0.97.
LMC V4476    P=3.6296d is possible.
LMC V4531    P var irregularly.
LMC V4532    [Fe/H]=-0.64. {Delta} m var; Blazhko effect? LMC member
LMC V4532    according to Vr.
LMC V4539    Alternative P value is 2.333d.
LMC V4560    MinII 15.1.
LMC V4565    Sp M3.5/S4 - M9.
LMC V4572    In the region of the cluster NGC 2136.
LMC V4573    In the region of the cluster NGC 2136.
LMC V4588    Alternative P value is 0.962d.
LMC V4615    P var. Quadratic term 1.27dx10^(-8)xExE.
LMC V4625    B-V: +0.42, +0.58.
LMC V4629    B-V: +0.64, +0.99.
LMC V4665    The identification with HV 12703 is erroneous.
LMC V4671    HV 12703=HV 12866.
LMC V4687    HV 11097=HV 12252.
LMC V4688    B-V: +0.09, +0.36. In the region of the cluster NGC 2210.
LMC V4689    VB A (B 19m, 2" nf). In the region of the cluster NGC 2210.
LMC V4690    Not all published observations are satisfied by the elements.
LMC V4690    In the region of the cluster NGC 2210.
LMC V4691    Alternative P values are 0.400d, 0.659d. In the region of the
LMC V4691    cluster NGC 2210.
LMC V4692    B-V: +0.30, +0.41. In the region of the cluster NGC 2210.
LMC V4693    In the region of the cluster NGC 2210.
LMC V4694    B-V: +0.19, +0.36. In the region of the cluster NGC 2210.
LMC V4695    B-V: +0.31, +0.50. RRC, Max=2445763.35+0.359xE? [V0059]. In the
LMC V4695    region of the cluster NGC 2210.
LMC V4696    B-V: +0.39, +0.45. In the region of the cluster NGC 2210.
LMC V4700    {Delta} V>0.7m. In the region of the cluster NGC 2214.
LMC V4705    In the region of the cluster NGC 2231.
LMC V4706    In the region of the cluster NGC 2231.
LMC V4709    In the region of the cluster NGC 2231.
LMC V4721    P decreases. P=0.54215d (JD 2440975 - 43214) [V0195]; P=0.542120d
LMC V4721    (JD 2447204 - 215).
LMC V4725    Alternative P value is 0.47d:.
LMC V4733    Red.
LMC V4734    Alternative P value is 0.410304d. P ~0.732d has also been
LMC V4734    noted. Only marginal evidence for periodicity in the interval
LMC V4734    0.54d - 0.58d. According to [V0460], P1=0.410320d; P2=0.697160d
LMC V4734    (var); less significant P3=0.422504d; P4=0.732357d.
LMC V4736    In the cluster NGC 2257.
LMC V4737    In the cluster NGC 2257. P var?
LMC V4738    In the cluster NGC 2257.
LMC V4740    In the cluster NGC 2257.
LMC V4741    In the cluster NGC 2257. P var. Before JD 2437200 Max=
LMC V4741    2437167.996+0.310016xE; since JD 2440000 - see Table.
LMC V4742    In the cluster NGC 2257. P var? Before JD 2444000 Max=
LMC V4742    2435043.036+0.378306xE; since JD 2444000 - see Table.
LMC V4743    In the cluster NGC 2257. P var. Before JD 2442500 Max=
LMC V4743    2436254.43+0.505659xE; since JD 2442500 - see Table.
LMC V4744    In the cluster NGC 2257. P var. Before JD 2437500 Max=
LMC V4744    2434732.348+0.375599xE [V0059]; since JD 2441000 - see Table.
LMC V4745    In the cluster NGC 2257.
LMC V4746    In the cluster NGC 2257.
LMC V4747    In the cluster NGC 2257. P var. Before JD 2442000 Max=
LMC V4747    2434732.133+0.741179xE; since JD 2442000 - see Table.
LMC V4748    In the cluster NGC 2257. {Delta} m var; Blazhko effect? [V0195].
LMC V4748    The epoch Max 2447208.67 derived from [V0460] does not satisfy
LMC V4748    the elements.
LMC V4749    In the cluster NGC 2257.
LMC V4750    In the cluster NGC 2257. Co-ordinates in [V0195] refer to another
LMC V4750    star.
LMC V4751    In the cluster NGC 2257.
LMC V4752    In the cluster NGC 2257.
LMC V4754    In the cluster NGC 2257.
LMC V4755    In the cluster NGC 2257. P var? [V0460].
LMC V4756    In the cluster NGC 2257. {Delta} m var; Blazhko effect? [V0195].
LMC V4757    In the cluster NGC 2257. The light curve with numerous
LMC V4757    discrepancies; the elements need confirmation [V0059]. According
LMC V4757    to [V0460], const.
LMC V4758    In the cluster NGC 2257.
LMC V4759    In the cluster NGC 2257.
LMC V4760    In the cluster NGC 2257. According to [V0460], const.
LMC V4761    In the cluster NGC 2257. P var? Max=2435043.138+0.343278xE
LMC V4761    (JD 2434000 - 45000).
LMC V4762    In the cluster NGC 2257.
LMC V4763    In the cluster NGC 2257.
LMC V4764    In the cluster NGC 2257. P1 - see Table. P0 =0.544656? [V0195].
LMC V4764    P1 var. Before JD 2442000 Max=2435043.029+0.406481xE;
LMC V4764    since JD 2442000 - see Table.
LMC V4765    In the cluster NGC 2257.
LMC V4766    In the cluster NGC 2257. P var. Before JD 2442500 Max=
LMC V4766    2436239.394+0.685654xE; since JD 2442500 - see Table.
LMC V4767    In the cluster NGC 2257. P var irregularly [V0215].
LMC V4768    In the cluster NGC 2257.
LMC V4769    In the cluster NGC 2257.
LMC V4770    In the cluster NGC 2257.
LMC V4771    In the cluster NGC 2257.
LMC V4772    In the cluster NGC 2257.
LMC V4773    In the cluster NGC 2257. P var. Before JD 2447200 Max=
LMC V4773    2435043.288+0.540409xE [V0195]; Max=2440992.007+0.540383xE
LMC V4773    (JD 2441000 - 45000); the Table presents current elements.
LMC V4774    In the cluster NGC 2257.
LMC V4775    In the cluster NGC 2257.
LMC V4776    In the cluster NGC 2257. P var. P(t)=0.319635+94.6x10^(-10)x
LMC V4776    (t-2441785) [V0215]. The elements need confirmation [V0059].
LMC V4777    In the cluster NGC 2257.
LMC V4778    In the cluster NGC 2257.
LMC V4779    In the cluster NGC 2257.
LMC V4780    In the cluster NGC 2257.
LMC V4781    In the cluster NGC 2257.
LMC V4782    In the cluster NGC 2257.
LMC V4783    In the cluster NGC 2257. {Delta} m var. P var. Max=2436239.538+
LMC V4783    0.674108xE (JD 2434000 - 37500); during JD 2440900 - 45000 -
LMC V4783    see Table.
LMC V4785    In the cluster NGC 2257.
LMC V4800    Alternative P values: 0.340517d; 0.52d; 1.07d. According to
LMC V4800    [V0460], not RR.
SMC V0004    B-V: +0.58, +0.73. According to observations from [V0273], double
SMC V0004    Max, Max I ({phi} ~0.18), Min ({phi} ~0.76), Max II (14.49V,
SMC V0004    B-V: +0.39, {phi} ~0.98) (phases calculated with the elements
SMC V0004    from [V0203]).
SMC V0022    {Delta}S=7.3.
SMC V0029    A probable member of the globular cluster 47 Tuc.
SMC V0034    Very red.
SMC V0035    [Fe/H] ~ -1.2, {Delta}S=5.
SMC V0041    Sometimes P=165d.
SMC V0046    B-V: +0.35,+0.67.
SMC V0051    An eclipse-like fading by 1.4V, 1.2B was observed on JD 2435658.66.
SMC V0057    A probable member of the globular cluster 47 Tuc.
SMC V0061    A probable member of the globular cluster 47 Tuc.
SMC V0069    V11 (47 Tuc).
SMC V0070    Marked V11 in the finding chart in [V0228], in error.
SMC V0077    A probable member of the globular cluster 47 Tuc.
SMC V0081    In the region of the globular cluster NGC 121.
SMC V0082    In the region of the globular cluster NGC 121.
SMC V0083    In the region of the globular cluster NGC 121.
SMC V0087    In the region of the globular cluster NGC 121.
SMC V0089    In the region of the globular cluster NGC 121.
SMC V0090    <B>-<V>=2.2. In the region of the globular cluster NGC 121.
SMC V0091    In the region of the globular cluster NGC 121.
SMC V0092    In the region of the globular cluster NGC 121.
SMC V0094    {Delta} m >= 1. In the region of the globular cluster NGC 121.
SMC V0095    In the region of the globular cluster NGC 121.
SMC V0096    In the region of the globular cluster NGC 121.
SMC V0098    [Fe/H]=-1.35. In the region of the globular cluster NGC 121.
SMC V0099    In the region of the globular cluster NGC 121.
SMC V0100    In the region of the globular cluster NGC 121.
SMC V0101    In the region of the globular cluster NGC 121.
SMC V0103    In the region of the globular cluster NGC 121.  {Delta}S=9.8.
SMC V0104    In the region of the globular cluster NGC 121.
SMC V0106    In the region of the globular cluster NGC 121.  Red.
SMC V0107    In the region of the globular cluster NGC 121.  Red.
SMC V0108    In the region of the globular cluster NGC 121.  Red.
SMC V0111    A probable member of the globular cluster 47 Tuc.
SMC V0112    {Delta}S=9.5 - 11.8.
SMC V0118    [Fe/H]=-1.7.
SMC V0129    {Delta}S=8.2. In the case of SMC membership may belong to the BLBOO
SMC V0129    type.
SMC V0132    Red.
SMC V0136    B-V: +0.27, +0.47.
SMC V0141    {Delta}S=6.8. In the case of SMC membership may belong to the BLBOO
SMC V0141    type.
SMC V0152    Red.
SMC V0160    {Delta}S=6.0. In the case of SMC membership may belong to the BLBOO
SMC V0160    type.
SMC V0161    Red.
SMC V0164    In the case of SMC membership may belong to the BLBOO type.
SMC V0166    P=0.33839d is possible.
SMC V0168    P=0.28082d is possible.
SMC V0170    Very red.
SMC V0171    Red.
SMC V0172    B-V: +0.37, +0.59.
SMC V0175    B-V: +0.49, +0.86.
SMC V0176    In the cluster HW 8.
SMC V0181    P var [V0212].
SMC V0191    B-V: +0.43, +0.76.
SMC V0193    B-V: +0.39, +0.94.
SMC V0194    Due to a misprint, two different P values are given in [V0209]:
SMC V0194    5.794683d, 5.794863d.
SMC V0196    B-V: +0.35, +0.61.
SMC V0201    MinII 16.7.
SMC V0204    B-V: +0.38, +0.80. [A/H]=-0.8. P var. Max=2416692.242+18.89116xE
SMC V0204    (JD 2414000 - 25000); Max=2425494.756+18.90332xE (JD 2425000 -
SMC V0204     - 34000); since JD 2434000 - see Table.
SMC V0205    B-V: +0.47, +0.57.
SMC V0206    In the region of the cluster HW 14.
SMC V0207    In the region of the cluster K 15.
SMC V0212    In the region of the cluster HW 14.
SMC V0218    B-V: +0.49, +0.93.
SMC V0231    In the region of the cluster K 20.
SMC V0233    B-V: +0.89, +1.08. [A/H]=-0.1. P var?
SMC V0235    B-V: +0.48, +0.76. [A/H]=-0.6.
SMC V0239    B-V: +0.44, +0.70.
SMC V0283    In accordance with the remarks in [V0198,V0212], the Table gives
SMC V0283    the elements for the star designated "HV1387" in [V0209];
SMC V0283    confusion with V285 is possible.
SMC V0284    B-V: +0.51, +1.05.
SMC V0285    In accordance with the remarks in [V0198,V0212], the Table gives
SMC V0285    the elements for the star designated "HV1386" in [V0209];
SMC V0285    confusion with V283 is possible.
SMC V0316    B-V: +0.43, +0.60.
SMC V0319    Due to a misprint, two different P values are given in [V0209]:
SMC V0319    1.914638d, 1.914368d.
SMC V0345    In the nebula LHa 115-N12A.
SMC V0347    In the region of the cluster N 5.
SMC V0352    B-V: +0.24, +0.46.
SMC V0353    Might be identical with V356=HV 824.
SMC V0354    Due to a misprint, two different P values are given in [V0209]:
SMC V0354    1.603654d, 1.603564d.
SMC V0356    B-V: +0.53, +1.16. P var? Max=2429871.460+65.798xE (JD 2410000-
SMC V0356    40000) [V0209]; since JD 2440000 - see Table.
SMC V0363    B-V: +0.53, +0.80. [A/H]=-0.6.
SMC V0364    MinII 16.5.
SMC V0374    Red.
SMC V0392    Suspected variability in V-R, V-I.
SMC V0398    Red.
SMC V0400    Red.
SMC V0403    Red.
SMC V0405    MinII 16.4.
SMC V0412    B-V: +0.85, +0.66.
SMC V0414    B-V: +0.54, +0.93. [A/H]=-0.4.
SMC V0434    Red.
SMC V0438    [A/H]=-0.2.
SMC V0462    Red.
SMC V0464    Due to a misprint, two different P values are given in [V0209]:
SMC V0464    2.022102d, 2.022012d.
SMC V0466    [A/H]=-0.1.
SMC V0474    Red.
SMC V0477    {Delta}S=1.8.
SMC V0480    Red.
SMC V0505    Red.
SMC V0508    Red.
SMC V0510    According to [V0209], Max=2429585.264 + 2.105760xE, M-m=0.19.
SMC V0514    Red.
SMC V0521    Sp SC4:/8+e.
SMC V0528    Red.
SMC V0534    Sp SC3:/8+e.
SMC V0550    {Delta}S=1.8.
SMC V0557    VB B (A 3" f).
SMC V0587    B-V: +0.38, +0.44.
SMC V0591    MinII 15.6.
SMC V0594    B-V: +0.48, +0.77.
SMC V0596    VB (A=HV 1483, B p var [V0212]).
SMC V0599    Doubt was expressed in [V0212] whether the data in [V0209] refer
SMC V0599    to the original HV 1488 [V0001].
SMC V0607    VB (A 16.8B; B s, 17.7B).
SMC V0623    The data refer to the star marked in the chart in [V0211]; it is
SMC V0623    assumed that the sign of the y co-ordinate in [V0211] is wrong.
SMC V0624    MinII 17.5.
SMC V0627    Red.
SMC V0641    MinII 17.1.
SMC V0655    Red.
SMC V0661    MinII 14.4.
SMC V0662    B-V: +0.71, +0.97. [Fe/H]=-0.62. P var; square term -0.00598dxExE.
SMC V0669    Red.
SMC V0676    B-V: +0.38, +1.06. In the region of the cluster L40.
SMC V0682    MinII 18.0:.
SMC V0687    Red.
SMC V0704    Red.
SMC V0713    In the region of the cluster N 19.
SMC V0724    MinII 17.8.
SMC V0741    Var (U-B)?
SMC V0746    B-V: +0.56, +0.84. [A/H]=-0.4.
SMC V0747    VB A (B s, var?, {rho}=5" [V0001]).
SMC V0750    Table 3 of [V0209] gives P=1.558969d.
SMC V0757    Red.
SMC V0778    B-V: +0.69, +1.00.
SMC V0784    Red.
SMC V0786    Red.
SMC V0793    In the region of the cluster N 6.
SMC V0797    In the region of the cluster N 1.
SMC V0802    MinII 17.5.
SMC V0807    [A/H]=+0.1.
SMC V0809    VB A (B 2" sf, ~18V).
SMC V0813    Due to a misprint, two different P values are given in [V0209]:
SMC V0813    4.284600d, 4.282600d.
SMC V0815    MinII 16.6.
SMC V0828    B-V: +0.73, +1.18. [A/H]=-0.6.
SMC V0829    Red.
SMC V0835    Red.
SMC V0836    In the region of the cluster N 2.
SMC V0854    Before JD 2438000 Max=2429843.597+7.350077xE [V0209]. P var?
SMC V0854    [V0059].
SMC V0857    P var. Max=2424497.453+12.54021xE (JD 2414000 - 25500); since
SMC V0857    JD 2425500 - see Table.
SMC V0862    Sp M1e/S2 - M7.
SMC V0867    MinII 17.5.
SMC V0876    Red.
SMC V0880    MinII 16.7.
SMC V0884    Red.
SMC V0888    In the region of the cluster N 15.
SMC V0890    Red.
SMC V0895    In the region of the cluster N 20.
SMC V0900    From photometry: Sp B+K? VB A (B 8").
SMC V0913    B-V: +0.52, +1.04.
SMC V0922    MinII 16.8.
SMC V0926    MinII 16.4.
SMC V0943    In the region of the cluster N 8.
SMC V0944    [A/H]=-0.2. P var? Max =2424408.793+68.9085xE [V0209]. SB.
SMC V0952    Red.
SMC V0958    In the region of the cluster K 31.
SMC V0959    MinII 16.9.
SMC V0960    MinII 16.7.
SMC V0963    The co-ordinates in [V0497] are wrong.
SMC V0968    Nebular emission in the spectrum [V0120].
SMC V0975    {Delta}S=-0.2.
SMC V0996    Red.
SMC V1004    Red.
SMC V1015    In the region of the cluster N 16.
SMC V1026    [Fe/H]=-0.40. P var. Max=2411531.386+73.4717xE (JD 2411000-
SMC V1026    26000); Max=2426519.611+73.6744xE (JD 2426000 - 41000);
SMC V1026    since JD 2441000 - see Table.
SMC V1032    P var? [V0059]. Max=2434299.274+1.985652xE [V0209].
SMC V1042    Not red?
SMC V1049    Red.
SMC V1052    Red.
SMC V1054    [A/H]=-0.7.
SMC V1059    MinII 17.1.
SMC V1075    Symbiotic Sp? B0:e + G-K. Sp var. Strong UV continuum.
SMC V1084    Due to a misprint, two different P values are given in [V0209]:
SMC V1084    3.243647d, 3.243687d.
SMC V1088    Red.
SMC V1091    MinII 17.1.
SMC V1097    Red.
SMC V1105    B-V: +0.38, +0.87.
SMC V1108    Red.
SMC V1125    MinII 14.79. Sp O9III-V.
SMC V1129    Not red?
SMC V1131    In the region of the cluster N 17.
SMC V1138    VB A (B p, var?).
SMC V1144    VB (both components var?).
SMC V1160    CV 18 [V0211,V0244]. According to [V0244], E, P=0.496686d, Max
SMC V1160    16.0, MinI 17.0, MinII 16.9 pg.
SMC V1165    P var? [V0059]. Max=2429778.637+8.126580xE [V0209].
SMC V1166    B-V: +0.53, +0.68.
SMC V1184    Red? [V0213]. According to data from [V0198], not red.
SMC V1213    MinII 17.0. According to [V0212], the star was erroneously
SMC V1213    designated HV 11345 in a number of papers.
SMC V1214    MinII 16.2.
SMC V1218    In the region of the cluster NGC 330.
SMC V1227    It is accepted that HV 11345 is the star marked with a square
SMC V1227    in the sketch in [V0212], p.66.
SMC V1230    B-V: +0.36, +0.69.
SMC V1234    [A/H]=-0.4. P var. Before JD 2441000 Max=2412233.163+42.6368xE;
SMC V1234    since JD 2441000 - see Table.
SMC V1235    The star I-f=B 24 (NGC 330) [V0276,V0045]. MinII 15.22. Sp B1III-V.
SMC V1240    P var. Gradual increase of P from ~70d to ~115d during the
SMC V1240    recent decades with overlapping intervals of irregular
SMC V1240    behaviour [V0278].
SMC V1246    Nebular emission in the spectrum [V0120].
SMC V1273    Probable member of the cluster NGC 330; the star A57 [V0045].
SMC V1279    In the region of the cluster NGC 330.
SMC V1295    VB A (B f).
SMC V1296    B-V: +0.54, +0.86. P var. Before JD 2426000 Max=2414199.909+
SMC V1296    14.59886xE; since JD 2426000 - see Table.
SMC V1318    Sp M1/S3 - M2/S4-M3.
SMC V1323    According to [V0209], the published period is not verified.
SMC V1333    [A/H]=-1.2.
SMC V1339    The star marked as HV 1707 in [V0212] is identical with the
SMC V1339    possible planetary nebula No.323 [V0234] and with the nebula LHa
SMC V1339    115-N60 [V0058]. Strong UV continuum with Balmer emission lines
SMC V1339    up to H{delta}. According to [V0289], the identification of HV 1707
SMC V1339    suggested in [V0212] is not the only possible. According to [V0012]
SMC V1339    CEP, P=1.66d.
SMC V1342    P var.
SMC V1357    [A/H]=-0.6.
SMC V1362    P var. Before JD 2432000 Max=2428040.420+3.368013xE; since
SMC V1362    JD 2432000 - see Table.
SMC V1374    Both components var. P applies to the western component? [V0212].
SMC V1383    MinII 17.3.
SMC V1384    MinII 17.6.
SMC V1391    [A/H]=-0.6.
SMC V1396    VB A (B sp var? [V0001]).
SMC V1398    VB ({Delta} m ~0.5, ~2").
SMC V1406    Before JD 2438000 Max=2432852.341+1.505709xE [V0209]; P var?
SMC V1406    [V0059].
SMC V1420    MinII 16.0.
